idLaw,wizara,sujet,type,num,date,num_jarida,date_jarida,page_jarida,مجال
653,وزارة المالية,يتضمن تحويل اعتماد بعنوان ميزانية الدولة، يوضع تحت تصرف وزيرة الثقافة والفنون.,مرسوم رئاسي,23-280,31 يوليو 2023,49,01 غشت 2023،,7,"المالية, السياسة"
654,وزارة التجارة وترقية الصادرات,يتضمن إنشاء المجلس الأعلى لضبط الواردات وتحديد تشكيلته ومهامه.,مرسوم رئاسي,23-284,01 غشت 2023,49,01 غشت 2023،,8,Non spécifié
655,وزارة الدفاع الوطني,يتضمن تعيين ضباط الصف للدرك الوطني بصفة ضباط للشرطة القضائية.,قرار وزاري مشترك ممضي في 12 يوليو 2023,,12 يوليو 2023,49,01 غشت 2023،,14,Non spécifié
656,وزارة الدفاع الوطني,يعدل القرار المؤرخ في 15 ربيع الثاني عام 1444 الموافق 10 نوفمبر سنة 2022 والمتضمن تعيين أعضاء المجلس الوطني للإعلام الجغرافي (م و إ ج).,قرار ممضي في 22 مايو 2023,,22 مايو 2023,49,01 غشت 2023،,14,Non spécifié
657,وزارة التكوين والتعليم المهنيين,يحدد تصنيف المعهد الوطني للتكوين والتعليم المهنيين وشروط الالتحاق بالمناصب العليا التابعة له.,قرار وزاري مشترك ممضي في 28 مايو 2023,,28 مايو 2023,49,01 غشت 2023،,15,Non spécifié
658,وزارة السكن العمران والمدينة,يتضمن المصادقة على الأرقام الاستدلالية للأجور والمواد للفصل الرابع من سنة 2022، المستعملة في صيغ تحيين ومراجعة أسعار صفقات الأشغال لقطاع البناء والأشغال العمومية والري.,قرار ممضي في 08 مايو 2023,,08 مايو 2023,49,01 غشت 2023،,19,Non spécifié
659,وزارة المالية,يحدد القواعد العامة المتعلقة بالصفقات العمومية.,قانون,23-12,05 غشت 2023,51,06 غشت 2023،,5,Non spécifié
660,وزارة الثقافة والفنون,يعدل المرسوم الرئاسي رقم 21-412 المؤرخ في 17 ربيع الأول عام 1443 الموافق 24 أكتوبر سنة 2021 والمتضمن إنشاء مركز وطني للصناعة السينماتوغرافية.,مرسوم رئاسي,23-286,02 غشت 2023,51,06 غشت 2023،,19,Non spécifié
661,وزارة الثقافة والفنون,"يعدل المرسوم الرئاسي رقم 21-413 المؤرخ في 17 ربيع الأول عام 1443 الموافق 24 أكتوبر سنة 2021 والمتضمن إنشاء المؤسسة العمومية ""الجزائري لإنتاج وتوزيع واستغلال فيلم سينمائي عن الأمير عبد القادر"".",مرسوم رئاسي,23-287,02 غشت 2023,51,06 غشت 2023،,19,Non spécifié
662,وزارة المالية,يحدد معدل الهامش التجاري الذي على أساسه تحدد النتيجة الجبائية لصيادلة التجزئة.,قرار وزاري مشترك ممضي في 31 مايو 2023,,31 مايو 2023,51,06 غشت 2023،,25,Non spécifié
663,وزارة التضامن الوطني والأسرة وقضايا المرأة,يعدل القرار المؤرخ في 6 شوال عام 1442 الموافق 18 مايو سنة 2021 والمتضمن تعيين أعضاء مجلس إدارة دار الرحمة لورقلة، ولاية ورقلة.,قرار ممضي في 03 أبريل 2023,,03 أبريل 2023,51,06 غشت 2023،,27,السياسة
664,وزارة التضامن الوطني والأسرة وقضايا المرأة,يعدل القرار المؤرخ في 23 صفر عام 1443 الموافق 30 سبتمبر سنة 2021 والمتضمن تعيين أعضاء مجلس توجيه المركز الوطني لاستقبال الفتيات والنساء ضحايا العنف ومن هن في وضع صعب بالبوني، ولاية عنابة.,قرار ممضي في 16 أبريل 2023,,16 أبريل 2023,51,06 غشت 2023،,27,Non spécifié
665,وزارة التجارة وترقية الصادرات,يتضمن تعيين أعضاء مجلس إدارة الغرفة الجزائرية للتجارة والصناعة.,قرار ممضي في 03 مايو 2023,,03 مايو 2023,51,06 غشت 2023،,27,السياسة
666,وزارة العدل,يعدل ويتمم القانون رقم 06-03 المؤرخ في 21 محرم علم 1427 الموافق 20 فبراير سنة 2006 والمتضمن تنظيم مهنة المحضر القضائي.,قانون,23-13,05 غشت 2023,52,09 غشت 2023،,4,Non spécifié
667,المحكمة الدستورية,يتعلق برقابة دستورية الأمر الذي يعدل ويتمم القانون رقم 13-05 المؤرخ في 14 رمضان عام 1434 الموافق 23 يوليو سنة 2013 والمتعلق بتنظيم الأنشطة البدنية والرياضية وتطويرها.,قرار,01/DCC/CC,03 غشت 2023,52,09 غشت 2023،,9,Non spécifié
668,وزارة الشباب والرياضة,يعدل ويتمم القانون رقم 13-05 المؤرخ في 14 رمضان عام 1434 الموافق 23 يوليو سنة 2013 والمتعلق بتنظيم الأنشطة البدنية والرياضية وتطويرها.,أمر,23-01,05 غشت 2023,52,09 غشت 2023،,11,Non spécifié
669,وزارة العدل,يحدد الهياكل الإدارية التابعة للمجلس الأعلى للقضاء ومهامها.,مرسوم رئاسي,23-288,03 غشت 2023,52,09 غشت 2023،,14,Non spécifié
670,وزارة الصحة,يحدد النظام الداخلي النموذجي للجنة الولائية للصحة العقلية.,قرار ممضي في 27 أبريل 2023,,27 أبريل 2023,52,09 غشت 2023،,19,Non spécifié
671,المحكمة الدستورية,يحدد عدد المناصب العليا للعمال المهنيين وسائقي السيارات والحجاب بعنوان المحكمة الدستورية.,قرار وزاري مشترك ممضي في 24 أبريل 2023,,24 أبريل 2023,52,09 غشت 2023،,21,Non spécifié
672,المحكمة الدستورية,يحدد تعداد مناصب الشغل وتصنيفها ومدة العقد الخاص بالأعوان العاملين في نشاطات الحفظ أو الصيانة أو الخدمات بعنوان المحكمة الدستورية.,قرار وزاري مشترك ممضي في 12 يوليو 2023,,12 يوليو 2023,52,09 غشت 2023،,22,Non spécifié
673,المجلس الوطني الاقتصادي والاجتماعي والبيئي,يعدل ويتمم المقرر المؤرخ في 14 ذي الحجة عام 1441 الموافق 4 غشت سنة 2020 والمتضمن تجديد تشكيلة اللجنتين المتساويتي الأعضاء المختصتين بأسلاك مستخدمي المجلس الوطني الاقتصادي والاجتماعي والبيئي.,مقرر ممضي في 09 مايو 2023,,09 مايو 2023,52,09 غشت 2023،,23,Non spécifié
674,وزارة الشؤون الخارجية والجالية الوطنية بالخارج,يتضمن انضمام الجمهورية الجزائرية الديمقراطية الشعبية، مع التحفظات والتصريحات التفسيرية، إلى الاتفاقية الدولية لسلامة الحاويات، المحررة بجنيف في 2 ديسمبر سنة 1992، المعدلة.,مرسوم رئاسي,23-281,31 يوليو 2023,50,03 غشت 2023،,5,الصناعة
675,وزارة الشؤون الخارجية والجالية الوطنية بالخارج,يتضمن التصديق على الاتفاق بين حكومة الجمهورية الجزائرية الديمقراطية الشعبية ومنتدى الدول المصدرة للغاز بشأن مقر معهد أبحاث الغاز لمنتدى الدول المصدرة للغاز، الموقع بالجزائر بتاريخ 26 جانفي سنة 2023.,مرسوم رئاسي,23-282,31 يوليو 2023,50,03 غشت 2023،,5,الصناعة
676,وزارة الشؤون الخارجية والجالية الوطنية بالخارج,يتضمن التصديق على الاتفاق بين حكومة الجمهورية الجزائرية الديمقراطية الشعبية وحكومة المملكة العربية السعودية لإنشاء مجلس التنسيق الأعلى الجزائري - السعودي، الموقع بجدة بتاريخ 16 مايو سنة 2023.,مرسوم رئاسي,23-283,31 يوليو 2023,50,03 غشت 2023،,12,الصناعة
677,المجلس الأعلى للغة العربية,يعدل ويتمم المرسوم الرئاسي رقم 98-226 المؤرخ في 17 ربيع الأول عام 1419 الموافق 11 يوليو سنة 1998 والمتضمن صلاحيات المجلس الأعلى للغة العربية وتنظيمه وعمله.,مرسوم رئاسي,23-285,02 غشت 2023,50,03 غشت 2023،,14,Non spécifié
678,وزارة التجارة وترقية الصادرات,يعدل ويتمم المرسوم التنفيذي رقم 04-173 المؤرخ في 23 ربيع الثاني عام 1425 الموافق 12 يونيو سنة 2004 والمتضمن تشكيل المجلس الوطني الاستشاري لترقية الصادرات وسيره.,مرسوم تنفيذي,23-290,03 غشت 2023,50,03 غشت 2023،,17,Non spécifié
679,وزارة التعليم العالي والبحث العلمي,يتمم القرار الوزاري المشترك المؤرخ في 24 ذي القعدة عام 1436 الموافق 8 سبتمبر سنة 2015 والمتضمن وضع بعض الأسلاك الخاصة بوزارة الصحة والسكان وإصلاح المستشفيات في حالة القيام بالخدمة لدى المؤسسات العمومية ذات الطابع العلمي والتكنولوجي التابعة لوزارة التعليم العالي والبحث العلمي.,قرار وزاري مشترك ممضي في 09 مايو 2023,,09 مايو 2023,50,03 غشت 2023،,24,الصحة
680,وزارة النقل,يحدد قائمة المحطات الجوية المختلطة التابعة للدولة.,قرار وزاري مشترك ممضي في 01 يونيو 2023,,01 يونيو 2023,50,03 غشت 2023،,25,Non spécifié
681,وزارة إقتصاد المعرفة والمؤسسات الناشئة والمؤسسات المصغرة,يحدد الخصائص التقنية لبطاقة المقاول الذاتي.,قرار ممضي في 06 يونيو 2023,,06 يونيو 2023,50,03 غشت 2023،,26,Non spécifié
682,وزارة الشؤون الدينية والأوقاف,"يعدل ويتمم المرسوم التنفيذي رقم 22-162 المؤرخ في 13 رمضان عام 1443 الموافق 14 أبريل سنة 2022 والمتضمن إنشاء المدرسة الوطنية العليا للعلوم الإسلامية ""دار القرآن"".",مرسوم تنفيذي,23-289,03 غشت 2023,53,14 غشت 2023،,6,Non spécifié
683,وزارة الداخلية والجماعات المحلية والتهيئة العمرانية,يعدل القرار المؤرخ في 10 ذي القعدة عام 1442 الموافق 21 يونيو سنة 2021 والمتضمن تعيـين أعضاء مجلس إدارة المركز الوطني للدراسات والتحاليل الخاصة بالسكان والتنمية.,قرار ممضي في 22 مايو 2023,,22 مايو 2023,53,14 غشت 2023،,17,السياسة
684,وزارة الداخلية والجماعات المحلية والتهيئة العمرانية,يحدد تشكيلة اللجنة المركزية لإعداد مشروع المخطط التوجيهي القطاعي لشبكات الطاقة وكيفيات عملها.,قرار وزاري مشترك ممضي في 21 مايو 2023,,21 مايو 2023,53,14 غشت 2023،,15,Non spécifié
685,وزارة العدل,يعدل القرار المؤرخ في 15 جمادى الأولى عام 1442 الموافق 30 ديسمبر سنة 2020 والمتضمن تعيين أعضاء لجنة تكييف العقوبات.,قرار ممضي في 15 يونيو 2023,,15 يونيو 2023,53,14 غشت 2023،,17,"التجارة, الجرائم"
686,وزارة التعليم العالي والبحث العلمي,يتمم القرار الوزاري المشترك المؤرخ في 25 ربيع الثاني عام 1430 الموافق 21 أبريل سنة 2009 الذي يحدد عدد المناصب العليا للموظفين المنتمين للأسلاك المشتركة في المؤسسات والإدارات العمومية بعنوان الإدارة المركزية لوزارة التعليم العالي والبحث العلمي.,قرار وزاري مشترك ممضي في 23 مايو 2023,,23 مايو 2023,53,14 غشت 2023،,18,Non spécifié
687,وزارة الصناعة والإنتاج الصيدلاني,يعدل القرار المؤرخ في 10 ربيع الثاني عام 1443 الموافق 15 نوفمبر سنة 2021 الذي يحدد القائمة الاسمية لأعضاء مجلس إدارة المعهد الوطني الجزائري للملكية الصناعية.,قرار ممضي في 21 مايو 2023,,21 مايو 2023,53,14 غشت 2023،,19,"الصناعة, السياسة"
688,وزارة الصناعة والإنتاج الصيدلاني,يعدل القرار المؤرخ في 19 شعبان عام 1443 الموافق 22 مارس سنة 2022 الذي يحدد القائمة الاسمية لأعضاء مجلس إدارة الهيئة الجزائرية للاعتماد.,قرار ممضي في 08 يونيو 2023,,08 يونيو 2023,53,14 غشت 2023،,19,السياسة
689,وزارة التجارة وترقية الصادرات,يعدل القرار المؤرخ في 29 جمادى الأولى عام 1442 الموافق 13 جانفي سنة 2021 والمتضمن تعيين أعضاء مجلس إدارة المخبر الوطني للتجارب.,قرار ممضي في 09 مايو 2023,,09 مايو 2023,53,14 غشت 2023،,19,السياسة
690,وزارة التجارة وترقية الصادرات,يتضمن تشكيل لجنة الطعن المختصة إزاء موظفي الإدارة المركزية لوزارة التجارة وترقية الصادرات.,قرار ممضي في 25 مايو 2023,,25 مايو 2023,53,14 غشت 2023،,19,"التجارة, الجرائم"
691,وزارة العمل والتشغيل والضمان الاجتماعي,ّيعدل ويتمم القرار المؤرخ في 21 ذي الحجة عام 1443 الموافق 20 يوليو سنة 2022 الـذي يحدد القائمة الاسمية لأعضاء المجلس الوطني للتعاضدية الاجتماعية.,قرار ممضي في 27 أبريل 2023,,27 أبريل 2023,53,14 غشت 2023،,20,Non spécifié
692,وزارة العمل والتشغيل والضمان الاجتماعي,يعدل القرار المؤرخ في 26 ربيع الثاني عام 1443 الموافق أول ديسمبر سنة 2021والمتضمن تعيين أعضاء مـجلس إدارة الصندوق الوطني للعطل المدفوعة الأجر والبطالة الناجمة عن سوء الأحوال الجوية في قطاعات البناء والأشغال العمومية والري.,قرار ممضي في 30 مايو 2023,,30 مايو 2023,53,14 غشت 2023،,21,السياسة
